title,price,image,details
Сотовый телефон Samsung Galaxy A51 (2020) 256GB (SM-A515F/DS) розовый,"

 25820 сом
-1%

25480 сом
","https://www.kivano.kg/images/product/90130/1615981101_35767400.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a51-2020-256gb-sm-a515f-ds-rozovyy
Сотовый телефон Samsung Galaxy A72 (2021) 8/128GB (SM-A725F/DS) голубой,"

 41090 сом
-2%

40160 сом
","https://www.kivano.kg/images/product/95762/1627810712_09238000.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a72-2021-8-128gb-sm-a725f-ds-goluboy
Сотовый телефон Samsung Galaxy A51 (2020) 256GB (SM-A515F/DS) серебристый,"

 25820 сом
-1%

25480 сом
","https://www.kivano.kg/images/product/90131/1615981304_00676500.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a51-2020-256gb-sm-a515f-ds-serebristyy
Сотовый телефон Samsung Galaxy A22 (2021) 6/128GB (SM-A225F/DS) белый,"
18680 сом
","https://www.kivano.kg/images/product/95763/1627818344_20472600.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a22-2021-6-128gb-sm-a225f-ds-belyy
Сотовый телефон Apple iPhone 12 128GB синий,"

 74120 сом
-1%

73270 сом
","https://www.kivano.kg/images/product/85012/1602712803_58712000.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-128gb-siniy
Сотовый телефон Xiaomi Redmi Note 9 3/64GB (NFC) черный,"
12660 сом
","https://www.kivano.kg/images/product/85780/1604915760_30845300.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-9-3-64gb-nfc-chernyy
Сотовый телефон OnePlus Nord N10 5G полуночный лед,"

 22670 сом
-1%

22330 сом
","https://www.kivano.kg/images/product/90132/1615982460_97673100.jpg
",/product/view/sotovyy-telefon-oneplus-nord-n10-5g-polunochnyy-led
Сотовый телефон Samsung Galaxy A22 (2021) 128GB (SM-A225F/DS) мятный,"
18000 сом
","https://www.kivano.kg/images/product/95764/1627818418_68855100.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a22-2021-128gb-sm-a225f-ds-myatnyy
Сотовый телефон Apple iPhone 12 128GB зеленый,"

 74120 сом
-1%

73270 сом
","https://www.kivano.kg/images/product/85013/1602712965_00270200.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-128gb-zelenyy
Сотовый телефон Samsung Galaxy A22 (2021) 128GB (SM-A225F/DS) белый,"
18000 сом
","https://www.kivano.kg/images/product/95765/1627818457_91066900.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a22-2021-128gb-sm-a225f-ds-belyy
Сотовый телефон Apple iPhone 12 128GB белый,"

 74120 сом
-1%

73270 сом
","https://www.kivano.kg/images/product/85014/1602713218_21147800.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-128gb-belyy
Сотовый телефон Samsung Galaxy A22 (2021) 64GB (SM-A225F/DS) мятный,"
17160 сом
","https://www.kivano.kg/images/product/95766/1627818742_07122600.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a22-2021-64gb-sm-a225f-ds-myatnyy
Сотовый телефон Apple iPhone 12 64GB белый,"

 67660 сом
-1%

67240 сом
","https://www.kivano.kg/images/product/85015/1602713414_32629100.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-64gb-belyy
Сотовый телефон Samsung Galaxy A22 (2021) 64GB (SM-A225F/DS) белый,"
17160 сом
","https://www.kivano.kg/images/product/95767/1627818796_21631200.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a22-2021-64gb-sm-a225f-ds-belyy
Сотовый телефон Samsung Galaxy A21s 3/32GB (SM-A217F/DS) черный,"
13920 сом
","https://www.kivano.kg/images/product/80408/1592382529_19204100.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-a21s-3-32gb-sm-a217f-ds-chernyy
Сотовый телефон Apple iPhone 12 256GB белый,"

 80580 сом
-1%

79720 сом
","https://www.kivano.kg/images/product/85016/1602713550_49563500.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-256gb-belyy
Сотовый телефон Xiaomi Redmi Note 10S 6/128GB белый,"
20290 сом
","https://www.kivano.kg/images/product/93208/1622209985_27205300.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-10s-6-128gb-belyy
Сотовый телефон Realme Narzo 30A 4/64GB черный,"
12490 сом
","https://www.kivano.kg/images/product/95768/1627821147_86352600.jpg
",/product/view/sotovyy-telefon-realme-narzo-30a-4-64gb-chernyy
Сотовый телефон Apple iPhone 12 64GB синий,"

 67660 сом
-1%

67240 сом
","https://www.kivano.kg/images/product/85017/1602713778_37002600.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-64gb-siniy
Сотовый телефон Xiaomi Redmi Note 10S 6/128GB черный,"
20290 сом
","https://www.kivano.kg/images/product/93209/1622210076_99878100.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-10s-6-128gb-chernyy
Сотовый телефон Realme C25 4/64GB черный,"
12900 сом
","https://www.kivano.kg/images/product/95769/1627821922_11353600.jpg
",/product/view/sotovyy-telefon-realme-c25-4-64gb-chernyy
Сотовый телефон Realme 8 Pro 8/128GB голубой,"
24280 сом
","https://www.kivano.kg/images/product/95770/1627822469_79762500.jpg
",/product/view/sotovyy-telefon-realme-8-pro-8-128gb-goluboy
Сотовый телефон Apple iPhone 12 256GB синий,"

 80580 сом
-1%

79720 сом
","https://www.kivano.kg/images/product/85019/1602713972_33816800.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-256gb-siniy
Сотовый телефон Xiaomi Mi 11 8/256GB серый,"

 62320 сом
-1%

61640 сом
","https://www.kivano.kg/images/product/94491/1624103591_61026000.jpg
",/product/view/sotovyy-telefon-xiaomi-mi-11-8-256gb-seryy
Сотовый телефон Samsung Galaxy M32 6/128GB (SM-M325F) голубой,"
20460 сом
","https://www.kivano.kg/images/product/95771/1627830352_32100000.jpg
",/product/view/sotovyy-telefon-samsung-galaxy-m32-6-128gb-sm-m325f-goluboy
Сотовый телефон Nokia 230 Dual Sim белый,"
6110 сом
","https://www.kivano.kg/images/product/42779/42779.jpg
",/product/view/sotovyy-telefon-nokia-230-dual-sim-belyy
Сотовый телефон Apple iPhone 12 64GB зеленый,"

 67660 сом
-1%

67240 сом
","https://www.kivano.kg/images/product/85020/1602714105_40301800.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-64gb-zelenyy
Сотовый телефон Nokia 125 Dual Sim,"
2970 сом
","https://www.kivano.kg/images/product/95772/1627843404_33509900.jpg
",/product/view/sotovyy-telefon-nokia-125-dual-sim
Сотовый телефон Xiaomi Redmi Note 8 Pro 6/128GB зеленый,"
18420 сом
","https://www.kivano.kg/images/product/73245/73245.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-8-pro-6-128gb-zelenyy
Сотовый телефон Apple iPhone 12 256GB зеленый,"

 80580 сом
-1%

79720 сом
","https://www.kivano.kg/images/product/85021/1602714223_31572700.jpg
",/product/view/sotovyy-telefon-apple-iphone-12-256gb-zelenyy
Сотовый телефон Xiaomi Redmi Note 9 4/128GB зеленый,"
14520 сом
","https://www.kivano.kg/images/product/79902/1591030227_60913400.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-9-4-128gb-zelenyy
Сотовый телефон Xiaomi Redmi Note 9 4/128GB белый,"
14520 сом
","https://www.kivano.kg/images/product/79903/1591030298_15841100.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-9-4-128gb-belyy
Сотовый телефон Xiaomi Redmi Note 9 3/64GB зеленый,"
12310 сом
","https://www.kivano.kg/images/product/79905/1591030624_17669400.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-9-3-64gb-zelenyy
Сотовый телефон Xiaomi Redmi Note 9 4/128GB черный,"
14520 сом
","https://www.kivano.kg/images/product/86565/1606932728_44112500.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-9-4-128gb-chernyy
Сотовый телефон Itel it5626 черный,"
2210 сом
","https://www.kivano.kg/images/product/94506/1624295172_51435100.jpg
",/product/view/sotovyy-telefon-itel-it5626-chernyy
Сотовый телефон Apple iPhone 11 64GB фиолетовый,"

 56030 сом
-1%

55520 сом
","https://www.kivano.kg/images/product/72491/72491.jpg
",/product/view/sotovyy-telefon-apple-iphone-11-64gb-fioletovyy
Сотовый телефон Itel it5615 черный,"
1780 сом
","https://www.kivano.kg/images/product/94507/1624295857_23521100.jpg
",/product/view/sotovyy-telefon-itel-it5615-chernyy
Сотовый телефон Apple iPhone 11 128GB фиолетовый,"

 59010 сом
-1%

58580 сом
","https://www.kivano.kg/images/product/72492/72492.jpg
",/product/view/sotovyy-telefon-apple-iphone-11-128gb-fioletovyy
Сотовый телефон Itel it5250 серый,"
1870 сом
","https://www.kivano.kg/images/product/94508/1624296720_36219100.jpg
",/product/view/sotovyy-telefon-itel-it5250-seryy
Сотовый телефон Itel it5250 голубой,"
1870 сом
","https://www.kivano.kg/images/product/94509/1624296771_33946700.jpg
",/product/view/sotovyy-telefon-itel-it5250-goluboy
Сотовый телефон Xiaomi Poco M3 Pro 5G 4/64GB желтый,"
16560 сом
","https://www.kivano.kg/images/product/95021/1625596396_19133600.jpg
",/product/view/sotovyy-telefon-xiaomi-poco-m3-pro-5g-4-64gb-zheltyy
Сотовый телефон Apple iPhone 11 64GB зеленый,"

 56030 сом
-1%

55520 сом
","https://www.kivano.kg/images/product/72494/72494.jpg
",/product/view/sotovyy-telefon-apple-iphone-11-64gb-zelenyy
Сотовый телефон Itel it5022 черный,"
1530 сом
","https://www.kivano.kg/images/product/94510/1624297389_41403600.jpg
",/product/view/sotovyy-telefon-itel-it5022-chernyy
Сотовый телефон Xiaomi Poco M3 Pro 5G 4/64GB синий,"
16560 сом
","https://www.kivano.kg/images/product/95022/1625596457_51859000.jpg
",/product/view/sotovyy-telefon-xiaomi-poco-m3-pro-5g-4-64gb-siniy
Сотовый телефон Apple iPhone 11 128GB зеленый,"

 59010 сом
-1%

58580 сом
","https://www.kivano.kg/images/product/72495/72495.jpg
",/product/view/sotovyy-telefon-apple-iphone-11-128gb-zelenyy
Сотовый телефон Itel it2590 черный,"
2380 сом
","https://www.kivano.kg/images/product/94511/1624298017_45845400.jpg
",/product/view/sotovyy-telefon-itel-it2590-chernyy
Сотовый телефон Itel it2320 черный,"
1610 сом
","https://www.kivano.kg/images/product/94512/1624298798_57292900.jpg
",/product/view/sotovyy-telefon-itel-it2320-chernyy
Сотовый телефон Xiaomi Mi 11 Lite 8/128GB черный,"
28440 сом
","https://www.kivano.kg/images/product/94768/1624905071_41544500.jpg
",/product/view/sotovyy-telefon-xiaomi-mi-11-lite-8-128gb-chernyy
Сотовый телефон Xiaomi Redmi Note 10 5G 4/128GB серебристый,"
18510 сом
","https://www.kivano.kg/images/product/95280/1626114623_26835500.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-10-5g-4-128gb-serebristyy
Сотовый телефон Apple iPhone 11 64GB желтый,"

 56030 сом
-1%

55520 сом
","https://www.kivano.kg/images/product/72497/72497.jpg
",/product/view/sotovyy-telefon-apple-iphone-11-64gb-zheltyy
Сотовый телефон Xiaomi Redmi Note 9T 4/128Gb черный,"
16390 сом
","https://www.kivano.kg/images/product/87857/1611076105_32784000.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-9t-4-128gb-chernyy
Сотовый телефон Itel it2160 черный,"
1270 сом
","https://www.kivano.kg/images/product/94513/1624299459_54198300.jpg
",/product/view/sotovyy-telefon-itel-it2160-chernyy
Сотовый телефон Xiaomi Redmi Note 10 5G 4/128GB синий,"
18510 сом
","https://www.kivano.kg/images/product/95281/1626114729_28427500.jpg
",/product/view/sotovyy-telefon-xiaomi-redmi-note-10-5g-4-128gb-siniy
Сотовый телефон Apple iPhone 11 128GB желтый,"

 58580 сом
-1%

58160 сом
","https://www.kivano.kg/images/product/72498/72498.jpg
",/product/view/sotovyy-telefon-apple-iphone-11-128gb-zheltyy
Сотовый телефон Itel it2160 синий,"
1270 сом
","https://www.kivano.kg/images/product/94514/1624299500_86134400.jpg
",/product/view/sotovyy-telefon-itel-it2160-siniy
